Area_unit_2013_code,Area_unit_2013_label,Victimisations_calendar_year_2015,Population_mid_point_2015,Rate_per_10000_population,Rate_ratio_NZ_average_rate,Urban_area_2013_code,Urban_area_2013_label,Urban_area_type,Territorial_authority_area_2013_code,Territorial_authority_area_2013_label,Region_2013_code,Region_2013_label
514102,Auckland Central West,550,15900,346,6.6,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
573101,Willis Street-Cambridge Terrace,447,8300,539,10.3,20,Wellington Zone,Main ,47,Wellington City,9,Wellington 
529700,Hamilton Central,380,3170,1199,22.9,6,Hamilton Zone,Main ,16,Hamilton City,3,Waikato 
514103,Auckland Central East,375,13250,283,5.4,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
591500,Cathedral Square,305,570,5351,102.3,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
514101,Auckland Harbourside,253,5680,445,8.5,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
524604,Manukau Central,192,900,2133,40.8,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
562800,Palmerston North Central,190,3060,621,11.9,16,Palmerston North,Main ,40,Palmerston North City,8,Manawatu-Wanganui 
540410,Kuirau,168,1290,1302,24.9,10,Rotorua,Main ,24,Rotorua District,4,Bay of Plenty 
538201,Tauranga Central,167,2270,736,14.1,9,Tauranga,Main ,23,Tauranga City,4,Bay of Plenty 
603100,Stuart St-Frederick St,154,3360,458,8.8,23,Dunedin,Main ,71,Dunedin City,14,Otago 
521901,Otahuhu West,148,5400,274,5.2,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
582500,Trafalgar,138,550,2509,48.0,21,Nelson,Main ,52,Nelson City,17,Nelson 
548200,Hastings Central,130,2970,438,8.4,13,Hastings Zone,Main ,30,Hastings District,6,Hawke's Bay 
544600,Gisborne Central,128,3380,379,7.2,11,Gisborne,Main ,28,Gisborne District,5,Gisborne 
587821,Paparua,121,890,1360,26.0,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
609302,Queenstown Hill,113,4100,276,5.3,117,Queenstown,Secondary ,70,Queenstown-Lakes District,14,Otago 
522202,Papatoetoe Central,109,5120,213,4.1,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
603000,High St-Stuart St,107,2540,421,8.1,23,Dunedin,Main ,71,Dunedin City,14,Otago 
569100,Hutt Central,105,4070,258,4.9,18,Lower Hutt Zone,Main ,46,Lower Hutt City,9,Wellington 
573000,Lambton,104,6000,173,3.3,20,Wellington Zone,Main ,47,Wellington City,9,Wellington 
524602,Wiri,103,4390,235,4.5,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
551800,New Plymouth Central,102,680,1500,28.7,14,New Plymouth,Main ,33,New Plymouth District,7,Taranaki 
514200,Newton,101,2170,465,8.9,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
570800,Porirua Central,96,410,2341,44.8,19,Porirua Zone,Main ,44,Porirua City,9,Wellington 
511303,Lynnmall,94,2610,360,6.9,3,Western Auckland Zone,Main ,76,Auckland,2,Auckland 
581230,Blenheim Central,91,2790,326,6.2,26,Blenheim,Main ,53,Marlborough District,18,Marlborough 
525910,Pukekohe North,91,9980,91,1.7,101,Pukekohe,Secondary ,76,Auckland,2,Auckland 
609304,Queenstown Bay,90,2360,381,7.3,117,Queenstown,Secondary ,70,Queenstown-Lakes District,14,Otago 
541720,Taupo Central,90,3900,231,4.4,103,Taupo,Secondary ,21,Taupo District,3,Waikato 
525001,Manurewa Central,89,4830,184,3.5,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
503100,Whangarei Central,87,280,3107,59.4,1,Whangarei,Main ,2,Whangarei District,1,Northland 
525410,Papakura Central,85,2290,371,7.1,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
546901,Nelson Park,82,2480,331,6.3,12,Napier Zone,Main ,31,Napier City,6,Hawke's Bay 
524111,Mangere Central,82,3350,245,4.7,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
517001,Glen Innes West,82,5100,161,3.1,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
524200,Mangere South,81,7980,102,1.9,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
591600,Hagley Park,80,1040,769,14.7,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
510700,Henderson North,79,6290,126,2.4,3,Western Auckland Zone,Main ,76,Auckland,2,Auckland 
599500,Seaview,78,2540,307,5.9,113,Timaru,Secondary ,64,Timaru District,13,Canterbury 
520500,Mt Wellington South,75,6200,121,2.3,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
523501,Otara North,74,1870,396,7.6,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
591700,Avon Loop,74,3670,202,3.9,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
611210,Otakaro Park,73,820,890,17.0,24,Invercargill,Main ,75,Invercargill City,15,Southland 
594600,Sydenham,70,6280,111,2.1,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
566000,Paraparaumu Central,69,8920,77,1.5,25,Kapiti,Main ,43,Kapiti Coast District,9,Wellington 
592702,Shirley East,68,3580,190,3.6,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
501700,Kaikohe,68,4370,156,3.0,208,Kaikohe,Minor ,1,Far North District,1,Northland 
529100,Hamilton Lake,67,4370,153,2.9,6,Hamilton Zone,Main ,16,Hamilton City,3,Waikato 
524901,Hillpark,67,5600,120,2.3,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
557100,Cooks Gardens,66,300,2200,42.1,15,Wanganui,Main ,37,Wanganui District,8,Manawatu-Wanganui 
593700,Linwood East,66,2190,301,5.8,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
527402,Huntly East,66,4540,145,2.8,217,Huntly,Minor ,13,Waikato District,3,Waikato 
524603,Puhinui South,65,3110,209,4.0,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
536831,Arataki,65,5510,118,2.3,9,Tauranga,Main ,23,Tauranga City,4,Bay of Plenty 
578600,Masterton Central,64,640,1000,19.1,109,Masterton,Secondary ,48,Masterton District,9,Wellington 
511100,Glen Eden East,64,7570,85,1.6,3,Western Auckland Zone,Main ,76,Auckland,2,Auckland 
542800,Opotiki,63,4130,153,2.9,241,Opotiki,Minor ,27,Opotiki District,4,Bay of Plenty 
590800,Riccarton,63,4610,137,2.6,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
510800,Henderson South,63,5060,125,2.4,3,Western Auckland Zone,Main ,76,Auckland,2,Auckland 
525610,Papakura East,60,6770,89,1.7,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
542600,Kawerau,59,6660,89,1.7,239,Kawerau,Minor ,26,Kawerau District,4,Bay of Plenty 
542410,Whakatane North,57,3240,176,3.4,104,Whakatane,Secondary ,25,Whakatane District,4,Bay of Plenty 
524822,Clendon South,57,5560,103,2.0,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
508010,Takapuna Central,56,3390,165,3.2,2,Northern Auckland Zone,Main ,76,Auckland,2,Auckland 
587400,Hornby North,56,3480,161,3.1,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
523912,Takanini South,56,5630,99,1.9,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
567100,Upper Hutt Central,54,330,1636,31.3,17,Upper Hutt Zone,Main ,45,Upper Hutt City,9,Wellington 
564220,Levin West,54,2810,192,3.7,107,Levin,Secondary ,42,Horowhenua District,8,Manawatu-Wanganui 
521902,Middlemore,53,110,4818,92.1,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
514302,Grafton East,53,1290,411,7.9,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
525922,Bledisloe Park,53,3130,169,3.2,101,Pukekohe,Secondary ,76,Auckland,2,Auckland 
593501,Linwood,53,4940,107,2.1,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
544801,Kaiti South,52,2940,177,3.4,11,Gisborne,Main ,28,Gisborne District,5,Gisborne 
587904,West Melton,52,8470,61,1.2,502,Rural (Incl.some Off Shore Islands),Rural,62,Selwyn District,13,Canterbury 
545842,Bridge Pa,51,1240,411,7.9,13,Hastings Zone,Main ,30,Hastings District,6,Hawke's Bay 
523711,Rongomai,50,5210,96,1.8,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
546700,Maraenui,49,3350,146,2.8,12,Napier Zone,Main ,31,Napier City,6,Hawke's Bay 
500301,Kaitaia West,49,3540,138,2.6,202,Kaitaia,Minor ,1,Far North District,1,Northland 
536810,Mt Maunganui North,49,4360,112,2.1,9,Tauranga,Main ,23,Tauranga City,4,Bay of Plenty 
603602,Otago University,49,5280,93,1.8,23,Dunedin,Main ,71,Dunedin City,14,Otago 
539100,Western Heights,48,3840,125,2.4,10,Rotorua,Main ,24,Rotorua District,4,Bay of Plenty 
530200,Hamilton East,48,4280,112,2.1,6,Hamilton Zone,Main ,16,Hamilton City,3,Waikato 
535350,Tokoroa Central,47,790,595,11.4,102,Tokoroa,Secondary ,19,South Waikato District,3,Waikato 
508701,Albany,47,3710,127,2.4,2,Northern Auckland Zone,Main ,76,Auckland,2,Auckland 
548620,Flaxmere East,47,4090,115,2.2,13,Hastings Zone,Main ,30,Hastings District,6,Hawke's Bay 
522100,Papatoetoe West,47,6340,74,1.4,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
524301,Mangere East,47,6500,72,1.4,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
597840,Ashburton Central East,46,1780,258,4.9,112,Ashburton,Secondary ,63,Ashburton District,13,Canterbury 
530000,Enderley,45,4660,97,1.8,6,Hamilton Zone,Main ,16,Hamilton City,3,Waikato 
544300,Te Hapara,45,4710,96,1.8,11,Gisborne,Main ,28,Gisborne District,5,Gisborne 
546600,Marewa,45,4940,91,1.7,12,Napier Zone,Main ,31,Napier City,6,Hawke's Bay 
540420,Victoria,44,1890,233,4.5,10,Rotorua,Main ,24,Rotorua District,4,Bay of Plenty 
548500,Camberley,44,2110,209,4.0,13,Hastings Zone,Main ,30,Hastings District,6,Hawke's Bay 
525420,Papakura North,44,2640,167,3.2,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
515420,Grey Lynn East,44,3700,119,2.3,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
522201,Papatoetoe North,44,6120,72,1.4,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
556800,Laird Park,43,2250,191,3.7,15,Wanganui,Main ,37,Wanganui District,8,Manawatu-Wanganui 
545500,Wairoa,43,4260,101,1.9,242,Wairoa,Minor ,29,Wairoa District,6,Hawke's Bay 
593502,Phillipstown,43,4300,100,1.9,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
524112,Mascot,43,4410,98,1.9,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
519500,Penrose,42,780,538,10.3,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
538101,Tauranga Hospital,42,2020,208,4.0,9,Tauranga,Main ,23,Tauranga City,4,Bay of Plenty 
518101,Mt Eden North,42,3670,114,2.2,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
522301,Dingwall,42,3980,106,2.0,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
523911,Takanini North,42,3980,106,2.0,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
513301,Kingdale,42,4080,103,2.0,3,Western Auckland Zone,Main ,76,Auckland,2,Auckland 
514401,Roberton,42,5890,71,1.4,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
576500,Adelaide,41,1100,373,7.1,20,Wellington Zone,Main ,47,Wellington City,9,Wellington 
524002,Mangere Bridge,41,6460,63,1.2,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
592200,Merivale,40,2830,141,2.7,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
564900,Parkway,40,3270,122,2.3,18,Lower Hutt Zone,Main ,46,Lower Hutt City,9,Wellington 
524720,Homai East,40,6870,58,1.1,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
500302,Kaitaia East,39,2070,188,3.6,202,Kaitaia,Minor ,1,Far North District,1,Northland 
591800,Northcote,39,2630,148,2.8,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
571100,Cannons Creek North,39,3350,116,2.2,19,Porirua Zone,Main ,44,Porirua City,9,Wellington 
530100,Peachgrove,39,3450,113,2.2,6,Hamilton Zone,Main ,16,Hamilton City,3,Waikato 
537601,Greerton,39,4470,87,1.7,9,Tauranga,Main ,23,Tauranga City,4,Bay of Plenty 
572900,Thorndon-Tinakori Road,39,4520,86,1.6,20,Wellington Zone,Main ,47,Wellington City,9,Wellington 
527401,Huntly West,38,3120,122,2.3,217,Huntly,Minor ,13,Waikato District,3,Waikato 
520000,Te Papapa,38,3730,102,1.9,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
519820,Onehunga South East,38,3820,99,1.9,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
517500,Kingsland,38,5140,74,1.4,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
507900,Westlake,38,5590,68,1.3,2,Northern Auckland Zone,Main ,76,Auckland,2,Auckland 
500900,Kerikeri,38,7110,53,1.0,203,Kerikeri,Minor ,1,Far North District,1,Northland 
528900,Frankton Junction,37,2000,185,3.5,6,Hamilton Zone,Main ,16,Hamilton City,3,Waikato 
595000,Spreydon,37,3790,98,1.9,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
546500,Onekawa South,37,4640,80,1.5,12,Napier Zone,Main ,31,Napier City,6,Hawke's Bay 
509702,Tuff Crater,37,4790,77,1.5,2,Northern Auckland Zone,Main ,76,Auckland,2,Auckland 
520601,Tamaki,37,5010,74,1.4,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
513302,Fairdene,37,5060,73,1.4,3,Western Auckland Zone,Main ,76,Auckland,2,Auckland 
525101,Leabank,37,5760,64,1.2,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
